Chinese,English
的,of
我,I
你,you
他,he
她,she
它,it
我们,we
你们,you (plural)
他们,they
她们,they (female)
它们,they (non-human)
是,is/am/are
有,have
在,at
不,no/not
了,particle (past tense)
人,person
这,this
那,that
什么,what
怎么,how
为什么,why
因为,because
和,and
或者,or
如果,if
但是,but
所以,so
可以,can
会,will
要,want
喜欢,like
知道,know
认识,know (someone)
觉得,feel/think
觉得,feel
觉得,think
做,do
说,say
告诉,tell
想,want to/think
问,ask
回答,answer
看,look/see
听,listen/hear
吃,eat
喝,drink
睡觉,sleep
去,go
来,come
住,live
工作,work
学习,study
学校,school
老师,teacher
学生,student
朋友,friend
家,home
爸,dad
妈,mom
哥,brother
姐,sister
弟,brother
妹,sister
儿子,son
女儿,daughter
多少钱,how much (money)
什么时候,when
哪里,where
这里,here
那里,there
可以,can/may
要,need/want
需要,need
不,negative prefix
请,please
谢谢,thank you
对不起,sorry
没关系,no problem
好的,okay
可以,can
行,all right
帮忙,help
问题,question
答案,answer
东西,thing
时间,time
地方,place
天气,weather
衣服,clothes
车,car
飞机,airplane
火车,train
自行车,bicycle
房子,house
钱,money
银行,bank
商店,store
医院,hospital
医生,doctor
护士,nurse
药,medicine
电脑,computer
手机,cellphone
电视,tv
电影,movie
音乐,music
游戏,game
书,book
报纸,newspaper
杂志,magazine
桌子,table
椅子,chair
床,bed